step,tr_loss,val_loss
0,142.38316131211346,132.94103860855103
1,134.86237161964152,127.12208113303551
2,130.15767605136998,123.30142340293297
3,127.25802002904251,121.22714647879967
4,125.57223126894644,119.85593627049373
5,124.56565074292232,119.13141540380624
6,123.93440069944224,118.50057502893301
7,123.44338521846998,118.13360382960393
8,123.11282195093796,117.84462228188148
9,122.85494811685618,117.64725971221924
10,122.6552975349732,117.38249327586247
11,122.54490782550054,117.28683284612802
12,122.35106364086283,117.0200970356281
13,122.10174397496591,116.79504658625676
