model,scene,n_cams,MPJPE,MOTA,MOTP,Precision,Recall,t_detection,t_matching_old,t_matching_new,t_update,t_create_new,t_prediction
yolo26n-pose,171026_pose3,4,4.158946436079269,0.9859789684526791,4.070777980731729,0.9921679720046659,0.9938240694374896,0.04182113268225937,0.011089816942954293,5.57403740240261e-05,0.003949285758108509,1.6431748799872225e-05,0.0005657149929454765
yolo26n-pose,171026_pose3,8,2.5766796685087314,0.9896511433817393,2.51034337687833,0.9940009998333611,0.9956601569020197,0.08522362366968837,0.021630703772695808,4.707432073505165e-05,0.005911529523463776,3.1591080048551354e-05,0.0007148036582332749
yolo26n-pose,171026_pose3,12,2.430671315717908,0.9944917376064096,2.403866573021841,0.996334555148284,0.9981639125354699,0.1406509754580956,0.026120011771590304,0.00012518857114572222,0.006398122517835313,1.9805006450042128e-05,0.0007346731054847344
yolo26n-pose,171026_pose3,16,2.1422681319745887,0.9963278250709398,2.1312340850964517,0.997168082625354,0.9991654147888499,0.19348182700963046,0.033985758175527174,0.00015594246631147913,0.009184735966976195,5.022794713015453e-05,0.0007548269504018557
yolo26n-pose,160906_ian1,4,15.588759589875531,0.3599883687118348,6.113841619531343,0.6876513317191283,0.6606571677813318,0.04003153644410971,0.008919341514934785,5.575677294594546e-05,0.0036184852152364327,3.5599777280973895e-05,0.0003743816225420839
yolo26n-pose,160906_ian1,8,3.608347057998578,0.8144809537656296,3.3475723305745615,0.8557277114554229,0.9796452457109625,0.08217580689517975,0.017196639986311008,5.579751888096022e-05,0.005751810283807572,2.822386370583748e-05,0.0005685078381405523
yolo26n-pose,160906_ian1,12,3.4209123741326586,0.8261122419307938,3.2431686436049394,0.8608077216154433,0.9854608897935446,0.13768445409546257,0.019103388057662717,6.957271473947913e-05,0.006143061023147311,3.05677098610128e-05,0.0005903483370299607
yolo26n-pose,160906_ian1,16,3.1396499117804004,0.8121546961325967,2.9565084338379606,0.8495619524405507,0.9869148008141901,0.1877878999718232,0.024476660929552356,9.891883725261627e-05,0.008261832080694148,3.693576347238074e-05,0.000620644045654141
yolo26n-pose,170915_office1,4,5.195638628256736,0.9957683741648107,5.172703879150463,0.9988841776389199,0.9968819599109131,0.04100856878880101,0.010993516570545682,3.612660623750546e-05,0.0041895608244877725,1.3316897145058546e-05,0.0006303347305640475
yolo26n-pose,170915_office1,8,3.164657991787644,0.9991091314031181,3.161890992670078,0.9993321460373998,0.9997772828507795,0.08458546704507251,0.021483062076802728,4.6058807619071254e-05,0.006079607575653225,1.6604821152415954e-05,0.0007515834237500611
yolo26n-pose,170915_office1,12,3.1929755502058788,0.9991091314031181,3.190214857024286,0.9993321460373998,0.9997772828507795,0.13954842276733445,0.024224792801671557,9.86433416708476e-05,0.006160335777961235,1.909993223509648e-05,0.0007627877000809854
yolo26n-pose,170915_office1,16,3.2294357378665866,0.9850779510022272,3.21368749087128,0.9863646360237519,0.9988864142538976,0.1943248919030561,0.032080911590213264,0.00012826999690150842,0.007980051885675897,2.880188249077441e-05,0.0007868733270895771
yolo26n-pose,161029_build1,4,5.955587727826904,0.901885112067686,5.321268061925871,0.9561561561561561,0.9452278462223541,0.04132830624673874,0.015725210003176133,3.6285246638134445e-05,0.007131337124748063,1.5898618204478544e-05,0.000546212921319746
yolo26n-pose,161029_build1,8,2.9893826021838357,0.9820394834496067,2.8679426587965433,0.9869002060641743,0.9952501113255158,0.08559400683583125,0.0276138243595237,4.560783902064053e-05,0.009962643251247056,1.7952589050130267e-05,0.0007585866763821646
yolo26n-pose,161029_build1,12,2.934227779111059,0.9820394834496067,2.8201758410086084,0.9863275507203764,0.9958438474098263,0.1437534512229197,0.03246594859120642,6.501162357846286e-05,0.011903795629760405,2.2700246632285957e-05,0.0008163578015143664
yolo26n-pose,161029_build1,16,2.650289193913239,0.9827816535549948,2.6028180757193815,0.9861947422529006,0.9967344515362921,0.19297387736364197,0.039711313700680095,0.00011546509721970218,0.017786506763657724,3.7502103763007085e-05,0.0008591820416514502
yolo26n-pose,160224_haggling1,4,6.782724166180179,0.874149847940282,5.238407771309789,0.9300832471842864,0.9452032070776887,0.04135504704395231,0.014331078184912137,8.424986155393223e-05,0.007978910148438687,3.7458916749649995e-05,0.0005294038645147035
yolo26n-pose,160224_haggling1,8,3.268058278844758,0.8398119988941112,3.1352843565969324,0.8658060787052647,0.9939176112800664,0.08527272433253626,0.025771218035024746,9.012590597461288e-05,0.012584700846470271,4.516079023014754e-05,0.0007922889827129742
yolo26n-pose,160224_haggling1,12,3.0907873798915904,0.8395908211224772,2.953878234451631,0.8654984836085303,0.9941387890517003,0.13940649945157735,0.030609736736988028,0.00013542760993974905,0.014921137451531832,5.267517950463419e-05,0.0008449069711728953
yolo26n-pose,160224_haggling1,16,2.6575450914220835,0.8306884158142107,2.400482729512364,0.8586639927422051,0.9943599668233343,0.1915429650442675,0.0374018768409073,0.00017322408215841278,0.021201058148348238,6.772147355368361e-05,0.0008866053887332479
yolo26n-pose,160906_pizza1,4,11.422181683601892,0.6721424468696151,7.418434774476772,0.8356007249535433,0.8368294083859851,0.041914753463623736,0.01872184867767695,4.116277298890054e-05,0.01631757119639466,2.124711775686592e-05,0.0007417618807405233
yolo26n-pose,160906_pizza1,8,4.4003841142367675,0.9904422745548536,4.36134719420397,0.9931815581741219,0.9972889144170017,0.08705883201428223,0.03324958858668882,7.361555609386415e-05,0.023655410431849305,2.7720732455297063e-05,0.0009937615429322856
yolo26n-pose,160906_pizza1,12,3.9448310060615035,0.9920964962665135,3.9330076543883807,0.993035098536229,0.9991039632395176,0.14387714938692517,0.03924719952899419,0.00014009651922776054,0.02831049608530399,3.5480920993722976e-05,0.0010428796607962188
yolo26n-pose,160906_pizza1,16,3.2574809640116764,0.989132682366456,3.2457531223037512,0.9898061345226177,0.9994256174612292,0.19614604223824184,0.05017955005489833,0.00026171912845456973,0.035698540073497376,7.116791820929696e-05,0.0011039060993740955
